NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
KMT5B	1	Kmt5b	
KMT5A	1	Kmt5a	
PITX2	1	Pitx2	
SLC16A2	1	Slc16a2	
HLA-DOB	1	H2-Ob	
SLC16A3	1	Slc16a3	
EIF1AY	6	Gm5662:Gm8300:Gm21319:Gm21936:Gm2016:BB287469	
S100A1	1	S100a1	
FST	1	Fst	
NCCRP1	1	Nccrp1	
NEAT1	1	Neat1	
LENEP	1	Lenep	
ADCYAP1	1	Adcyap1	
OLFM1	1	Olfm1	
LIX1	1	Lix1	
MFNG	1	Mfng	
LY6D	1	Ly6d	
S100A6	1	S100a6	
MAL	1	Mal	
UTS2	1	Uts2	
S100A4	1	S100a4	
PTPRCAP	1	Ptprcap	
LY6H	4	Ly6c1:Ly6h:Ly6a:Ly6c2	
S100A9	1	S100a9	
PVALB	1	Pvalb	
FTL	1	Ftl1	
BLK	1	Blk	
CHODL	1	Chodl	
GRIA2	1	Gria2	
ECSCR	1	Ecscr	
TACSTD2	1	Tacstd2	
GSTT2	1	Gstt2	
TNFRSF11B	1	Tnfrsf11b	
FOXO4	1	Foxo4	
NREP	1	Nrep	
REG3G	1	Reg3g	
CORO1A	1	Coro1a	
SOCS3	1	Socs3	
MBP	1	Mbp	
SLC38A4	1	Slc38a4	
BDNF	1	Bdnf	
TNFRSF9	1	Tnfrsf9	
LY86	1	Ly86	
FBXO34	1	Fbxo34	
CXCL10	1	Cxcl10	
CXCL12	1	Cxcl12	
RGCC	1	Rgcc	
OGN	1	Ogn	
TBXAS1	1	Tbxas1	
LCN2	1	Lcn2	
MDM2	1	Mdm2	
SP5	1	Sp5	
ADSS1	1	Adssl1	
MT-CYB	1	mt-Cytb	
SNAP25	1	Snap25	
FLT1	1	Flt1	
ITGB4	1	Itgb4	
MTCL1	1	Mtcl1	
COX4I2	1	Cox4i2	
ITGB2	1	Itgb2	
CELF4	1	Celf4	
FHL2	1	Fhl2	
MSLN	1	Msln	
SPN	1	Spn	
FCGR3A	1	Fcgr4	
HHEX	1	Hhex	
ARL5C	1	Arl5c	
MDK	1	Mdk	
SUMO2	1	Sumo2	
ZNF646	1	Zfp646	
ITGB6	1	Itgb6	
UPP1	1	Upp1	
EDIL3	1	Edil3	
EIF5A	1	Eif5a	
PTCRA	1	Ptcra	
HSP90AA1	1	Hsp90aa1	
PEG3	1	Peg3	
CEP295	1	Cep295	
GKN1	1	Gkn1	
TNFRSF18	1	Tnfrsf18	
GKN2	1	Gkn2	
HTR3A	1	Htr3a	
CES4A	1	Ces4a	
RRM2B	1	Rrm2b	
HAND1	1	Hand1	
ITGA5	1	Itga5	
LCP1	1	Lcp1	
SLC25A5	1	Slc25a5	
ITIH5	1	Itih5	
C1S	1	C1s1	
C1R	1	C1ra	
TBXT	1	T	
DEPP1	2	8430408G22Rik:Depp1	
CCL8	2	Ccl12:Ccl8	
CCL7	1	Ccl7	
PHKG1	1	Phkg1	
CCL5	1	Ccl5	
NNAT	1	Nnat	
CCL3	1	Ccl3	
CCL2	1	Ccl2	
CTHRC1	1	Cthrc1	
H2AZ1	1	H2az1	
H2AZ2	1	H2az2	
PPP1R14A	1	Ppp1r14a	
SLC12A3	1	Slc12a3	
KCNJ8	1	Kcnj8	
PCDH9	1	Pcdh9	
PRRX1	1	Prrx1	
PRRX2	1	Prrx2	
REC8	1	Rec8	
NELL2	1	Nell2	
FCGR2A	1	Fcgr3	
MTRES1	1	Mtres1	
MYO1C	1	Myo1c	
TSPAN13	1	Tspan13	
OR2V1	1	Olfr56	
SST	1	Sst	
SYT11	1	Syt11	
POU2AF1	1	Pou2af1	
TSPAN18	1	Tspan18	
MGP	1	Mgp	
ST7	1	St7	
OCIAD2	1	Ociad2	
SMIM40	1	Smim40	
FCGR2B	1	Fcgr2b	
PIK3AP1	1	Pik3ap1	
KCNK2	1	Kcnk2	
NOP53	1	Nop53	
CD244	1	Cd244a	
VPS35L	1	Vps35l	
NPFFR2	1	Npffr2	
ERRFI1	1	Errfi1	
JPT1	1	Jpt1	
SPON2	1	Spon2	
KHDC3L	1	Khdc3	
MT1X	1	Mt2	
IKZF1	1	Ikzf1	
IKZF3	1	Ikzf3	
ACTB	1	Actb	
ICAM1	1	Icam1	
LGALS3	1	Lgals3	
BAIAP2L1	1	Baiap2l1	
IL36A	1	Il1f6	
LGALS1	1	Lgals1	
RASSF2	1	Rassf2	
PEG10	1	Peg10	
BSG	1	Bsg	
RESP18	1	Resp18	
CCN5	1	Wisp2	
RCC1	1	Rcc1	
CCN4	1	Wisp1	
CCN3	2	Nov:Ccn3	
IL12A	1	Il12a	
CCN2	1	Ctgf	
LGALS9	1	Lgals9	
CCN1	1	Cyr61	
LGALS7	1	Lgals7	
SCN1B	1	Scn1b	
EPHA5	1	Epha5	
RSAD2	1	Rsad2	
ANK2	1	Ank2	
MIF	1	Mif	
TM4SF1	1	Tm4sf1	
SFRP4	1	Sfrp4	
SFRP1	1	Sfrp1	
CCDC80	1	Ccdc80	
MT1A	1	Mt1	
SFRP2	1	Sfrp2	
IFI27	1	Ifi27	
SLPI	1	Slpi	
TRIM17	1	Trim17	
CRISPLD2	1	Crispld2	
SNHG11	1	Snhg11	
SFRP5	1	Sfrp5	
MXRA8	1	Mxra8	
KCNQ5	1	Kcnq5	
MGARP	1	Mgarp	
MXRA7	1	Mxra7	
TAGLN3	1	Tagln3	
ALPK1	1	Alpk1	
NAIP	1	Naip1	
NRN1	1	Nrn1	
PCDH10	1	Pcdh10	
TMEM63C	1	Tmem63c	
PCDH12	1	Pcdh12	
AARD	1	Aard	
KALRN	1	Kalrn	
PCDH17	1	Pcdh17	
APELA	1	Apela	
SYNGR1	1	Syngr1	
TSPAN8	1	Tspan8	
CD19	1	Cd19	
PENK	1	Penk	
APOD	1	Apod	
SLAMF6	1	Slamf6	
APOE	1	Apoe	
CD14	1	Cd14	
NTNG1	1	Ntng1	
EGR1	1	Egr1	
GREB1	1	Greb1	
IGF2	1	Igf2	
IGF1	1	Igf1	
PPBP	1	Ppbp	
PRG3	1	Prg3	
CNFN	1	Cnfn	
MYLPF	1	Mylpf	
BST1	1	Bst1	
CYP26A1	1	Cyp26a1	
NDUFAF8	1	Ndufaf8	
TH	1	Th	
RPL27A	2	Gm7536:Rpl27a	
ID2	1	Id2	
ID4	1	Id4	
CD27	1	Cd27	
ID3	1	Id3	
CALM1	1	Calm1	
CTRC	1	Ctrc	
FBXL4	1	Fbxl4	
RETREG1	1	Retreg1	
CD200	1	Cd200	
CD22	1	Cd22	
BARHL1	1	Barhl1	
PCSK2	1	Pcsk2	
IGHM	1	Ighm	
NRP1	1	Nrp1	
ECM1	1	Ecm1	
NRP2	1	Nrp2	
PPP1R17	1	Ppp1r17	
GRIK3	1	Grik3	
ICA1	1	Ica1	
KIF14	1	Kif14	
WFDC1	1	Wfdc1	
N4BP2L1	1	N4bp2l1	
CTSV	1	Ctsl	
TNFRSF13C	1	Tnfrsf13c	
CHRDL2	1	Chrdl2	
CTSS	1	Ctss	
WFDC2	1	Wfdc2	
WFDC3	1	Wfdc3	
GNGT1	1	Gngt1	
MT-ATP6	1	mt-Atp6	
GNGT2	1	Gngt2	
CTSL	4	Ctsr:Cts8:Ctsj:Ctsq	
RAC2	1	Rac2	
DHX16	1	Dhx16	
MUC13	1	Muc13	
CD37	1	Cd37	
ARIH1	1	Arih1	
CD36	1	Cd36	
CTSE	1	Ctse	
CD34	1	Cd34	
CTSD	1	Ctsd	
LMCD1	1	Lmcd1	
AASS	1	Aass	
CAMP	1	Camp	
CTSB	1	Ctsb	
CD53	1	Cd53	
SBSPON	1	Sbspon	
CD52	1	Cd52	
FCER1G	1	Fcer1g	
FOXD1	1	Foxd1	
TMEM150A	1	Tmem150a	
IL19	1	Il19	
IL16	1	Il16	
PLAAT3	1	Plaat3	
ANO4	1	Ano4	
SORCS2	1	Sorcs2	
TLCD3B	1	Tlcd3b	
OOEP	1	Ooep	
ANO1	1	Ano1	
GAL	1	Gal	
BANK1	1	Bank1	
IGHD	1	Ighd	
MZB1	1	Mzb1	
CD48	1	Cd48	
NCOA7	1	Ncoa7	
MFGE8	1	Mfge8	
PTMA	1	Ptma	
ARHGEF6	1	Arhgef6	
CD63	1	Cd63	
TAGLN	1	Tagln	
MARCHF1	1	Marchf1	
RAMP3	1	Ramp3	
SELPLG	1	Selplg	
TMPRSS5	1	Tmprss5	
ATP23	1	Atp23	
SLC43A3	1	Slc43a3	
DEFB126	1	Defb22	
CTXND1	1	Gm2115	
CRYBA4	1	Cryba4	
FITM2	1	Fitm2	
CYP17A1	1	Cyp17a1	
IGKC	1	Igkc	
GPC3	1	Gpc3	
MSX1	1	Msx1	
PAK3	1	Pak3	
EXOSC2	1	Exosc2	
MAP3K2	1	Map3k2	
CD74	1	Cd74	
NPM1	1	Npm1	
CD72	1	Cd72	
CAVIN1	1	Cavin1	
GCH1	1	Gch1	
CAVIN2	1	Sdpr	
CAVIN3	1	Cavin3	
GCGR	1	Gcgr	
TMEM176B	1	Tmem176b	
TMEM176A	1	Tmem176a	
DKKL1	1	Dkkl1	
GCG	1	Gcg	
MIAT	1	Miat	
KAZALD1	1	Kazald1	
KLK10	1	Klk10	
MT-ATP8	1	mt-Atp8	
CMSS1	1	Cmss1	
NOL4L	1	Nol4l	
KLHL6	1	Klhl6	
STK17B	1	Stk17b	
TTC3	1	Ttc3	
CD68	1	Cd68	
FOXA2	1	Foxa2	
DCLRE1B	1	Dclre1b	
C1orf54	1	BC028528	
CD81	1	Cd81	
DENND5B	1	Dennd5b	
GIMAP1	1	Gimap1	
LOXL3	1	Loxl3	
WASHC2C	1	Washc2	
OTP	1	Otp	
TTF2	1	Ttf2	
ACTG2	1	Actg2	
IFI44L	1	Ifi44l	
LOXL1	1	Loxl1	
ACTG1	1	Actg1	
LOXL2	1	Loxl2	
NPPB	1	Nppb	
RGS4	1	Rgs4	
NPPC	1	Nppc	
RGS5	1	Rgs5	
TMEM267	1	Gm7120	
RGS2	1	Rgs2	
CCND2	1	Ccnd2	
KIF5C	1	Kif5c	
RGS1	1	Rgs1	
MPZ	1	Mpz	
DUOXA2	1	Duoxa2	
NPPA	1	Nppa	
NRTN	1	Nrtn	
CCDC163	1	Ccdc163	
RAG2	1	Rag2	
TGM3	1	Tgm3	
TGM2	1	Tgm2	
ZBP1	1	Zbp1	
OSR2	1	Osr2	
SPINK1	1	Spink1	
MSX2	1	Msx2	
HBE1	1	Hbb-y	
PHGR1	1	Phgr1	
IRAG2	1	Lrmp	
PCOLCE	1	Pcolce	
CARTPT	1	Cartpt	
LAX1	1	Lax1	
RUNDC3A	1	Rundc3a	
PDGFRL	1	Pdgfrl	
